Manufacturer	Image URL	Brand Icon	Brand Name
alfa-romero	https://s3-prod-europe.autonews.com/s3fs-public/Alfa%20Romeo%20Tonale%20web.jpg	https://thenewswheel.com/wp-content/uploads/2015/06/1024px-Alfa_Romeo.svg_-630x630.png	ALFA ROMERO
audi	https://imgcdn.zigwheels.ph/medium/gallery/exterior/35/739/audi-a4-front-angle-low-view-707872.jpg	https://cdn.iconscout.com/icon/free/png-512/audi-6-282743.png	AUDI
bmw	https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/X1/7625/1583398555726/front-left-side-47.jpg	https://cdn.iconscout.com/icon/free/png-512/bmw-1863540-1580030.png	BMW
chevrolet	https://i.pinimg.com/originals/d6/3b/7b/d63b7b1e2c06f609a111785c87fdbf70.jpg	https://www.car-brand-names.com/wp-content/uploads/2015/08/Chevrolet-logo.png	CHEVROLET
dodge	https://media.ed.edmunds-media.com/dodge/challenger/2018/oem/2018_dodge_challenger_coupe_srt-demon_fq_oem_4_500.jpg	https://www.carlogos.org/logo/Dodge-logo-1990-2100x2100.png	DODGE
honda	https://visor.ph/wp-content/uploads/2020/02/honda-2019-sales-per-model-main.jpg	https://www.car-brand-names.com/wp-content/uploads/2015/05/Honda-logo.png	HONDA
isuzu	https://www.autodeft.com/_files/images/full/2016-03-09/M090NK4W.jpg	https://www.carlogos.org/logo/Isuzu-logo-1991-3840x2160.png	ISUZU
jaguar	https://s1.1zoom.me/big0/558/Jaguar_White_Clouds_475610.jpg	https://i.pinimg.com/originals/c4/6a/82/c46a825b80dfea33f0d79a03370da40e.png	JAGUAR
mazda	https://images2.alphacoders.com/104/thumb-1920-1043913.jpg	https://pngriver.com/wp-content/uploads/2018/04/Download-Mazda-Logo-PNG-Transparent-Image.png	MAZDA
mercedes-benz	https://i.pinimg.com/474x/80/17/c2/8017c2195b809f05c428768e664086ec.jpg	https://i.pinimg.com/736x/4d/e2/90/4de2907cb19f580c208e0d58050da5ae.jpg	MERCEDES BENZ
mercury	https://wallpapers-fenix.eu/full/141203/033142250.jpg	https://seeklogo.com/images/M/Mercury-logo-0889E75D28-seeklogo.com.png	MERCURY
mitsubishi	https://wallpaperaccess.com/full/1607050.jpg	https://www.miamilakesautomall.com/mitsubishi-blog/wp-content/uploads/sites/87/2018/02/miami-lakes-mitsubishi-origin-feature.png	MITSUBISHI
nissan	https://images2.alphacoders.com/630/630719.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Nissan-logo.svg/1189px-Nissan-logo.svg.png	NISSAN
peugot	https://www.zastavki.com/pictures/640x480/2018Auto___Peugeot_Red_stylish_Peugeot_508_GT_car_on_a_black_background_125224_29.jpg	https://www.nicepng.com/png/detail/397-3975917_logo-della-peugeot-peugeot-logo-png.png	PEUGEOT
plymouth	https://www.wallpaperup.com/uploads/wallpapers/2013/06/23/107738/0033635fa549d8b5f1f6e328d1788462-700.jpg	https://www.carlogos.org/logo/Plymouth-logo-1920x1080.png	PLYMOUTH
porsche	http://www.newcarcars.com/wp-content/uploads/2020/06/2021-Porsche-911-Targa-4S-Heritage-Design-Edition-Front-Three-Quarter-Wallpaper.jpg	https://www.carlogos.org/car-logos/porsche-logo-2100x1100.png	PORSCHE
renault	https://c4.wallpaperflare.com/wallpaper/298/644/894/renault-sport-rs-01-yellow-concept-wallpaper-preview.jpg	https://1000logos.net/wp-content/uploads/2019/12/Renault-logo.png	RENAULT
saab	https://wallpaperaccess.com/full/1642224.jpg	https://www.carlogos.org/logo/Saab-logo-2000-1280x1024.png	SAAB
subaru	https://i.pinimg.com/originals/3c/75/57/3c7557bda8537354721af741512ca1cf.jpg	https://pictures.dealer.com/s/stanleysubarusne/1391/b8372e4c404638720125d92c993575e0.jpg	SUBARU
toyota	https://c4.wallpaperflare.com/wallpaper/499/113/152/toyota-supra-neon-lights-4k-wallpaper-preview.jpg	https://www.futurelab.net/sites/default/files/toyota-logo.jpg	TOYOTA
volkswagen	https://besthqwallpapers.com/Uploads/27-2-2018/42163/thumb2-volkswagen-golf-gti-4k-mk7-tuning-night.jpg	https://upload.wikimedia.org/wikipedia/commons/d/d3/Volkswagen_logo.png	VOLKSWAGEN
volvo	https://wallpapercave.com/wp/wp3708432.jpg	https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png	VOLVO
